date,off
2019-09-30,True
2019-10-01,False
2019-08-24,False
2019-08-25,False
2019-08-08,False
2019-08-08,False
2019-08-09,True
2019-07-18,False
2018-07-10,True
2018-07-11,False
2017-08-21,False
2017-08-22,False
2017-07-31,False
2017-07-28,False
2017-07-29,True
2017-07-30,True
2016-09-26,False
2016-09-27,True
2016-09-28,True
2016-09-16,False
2016-09-17,True
2016-09-18,False
2016-09-13,False
2016-09-14,False
2016-09-15,False
2016-07-07,False
2016-07-08,True
2016-07-09,False
2015-09-27,False
2015-09-28,True
2015-09-29,True
2015-08-22,False
2015-08-07,True
2015-08-08,True
2015-08-09,False
2015-07-10,True
2015-07-11,False
2015-07-07,False
